city, state, count_of_customers
NULL,SP,41746
sao paulo,NULL,15540
NULL,RJ,12852
NULL,MG,11635
rio de janeiro,NULL,6882
NULL,RS,5466
NULL,PR,5045
NULL,SC,3637
NULL,BA,3380
belo horizonte,NULL,2773
NULL,DF,2140
brasilia,NULL,2131
NULL,ES,2033
NULL,GO,2020
NULL,PE,1652
curitiba,NULL,1521
campinas,NULL,1444
porto alegre,NULL,1379
NULL,CE,1336
salvador,NULL,1245
guarulhos,NULL,1189
NULL,PA,975
sao bernardo do campo,NULL,938
NULL,MT,907
niteroi,NULL,849
santo andre,NULL,797
NULL,MA,747
osasco,NULL,746
NULL,MS,715
santos,NULL,713
goiania,NULL,692
sao jose dos campos,NULL,691
fortaleza,NULL,654
sorocaba,NULL,633
recife,NULL,613
florianopolis,NULL,570
jundiai,NULL,565
NULL,PB,536
ribeirao preto,NULL,510
NULL,PI,495
NULL,RN,485
belem,NULL,447
nova iguacu,NULL,442
barueri,NULL,433
juiz de fora,NULL,427
contagem,NULL,426
NULL,AL,413
sao goncalo,NULL,409
mogi das cruzes,NULL,383
vitoria,NULL,380
uberlandia,NULL,374
piracicaba,NULL,369
sao luis,NULL,353
NULL,SE,350
sao jose do rio preto,NULL,335
vila velha,NULL,334
carapicuiba,NULL,328
maua,NULL,323
campo grande,NULL,320
praia grande,NULL,316
londrina,NULL,306
taboao da serra,NULL,296
diadema,NULL,286
serra,NULL,285
teresina,NULL,281
indaiatuba,NULL,280
NULL,TO,280
sao caetano do sul,NULL,277
bauru,NULL,273
maringa,NULL,271
taubate,NULL,270
duque de caxias,NULL,266
joinville,NULL,264
joao pessoa,NULL,256
NULL,RO,253
cotia,NULL,250
cuiaba,NULL,248
maceio,NULL,247
sao carlos,NULL,241
petropolis,NULL,240
macae,NULL,239
campos dos goytacazes,NULL,238
suzano,NULL,234
volta redonda,NULL,232
guaruja,NULL,226
aracaju,NULL,225
americana,NULL,224
caxias do sul,NULL,224
montes claros,NULL,211
canoas,NULL,210
natal,NULL,207
betim,NULL,203
santa maria,NULL,197
marilia,NULL,196
jacarei,NULL,194
uberaba,NULL,191
limeira,NULL,190
blumenau,NULL,188
pelotas,NULL,186
santana de parnaiba,NULL,185
feira de santana,NULL,185
valinhos,NULL,183
sumare,NULL,183
itaquaquecetuba,NULL,172
ipatinga,NULL,171
itapevi,NULL,170
sao jose,NULL,169
sao vicente,NULL,165
embu das artes,NULL,165
franca,NULL,161
presidente prudente,NULL,161
atibaia,NULL,159
rio claro,NULL,157
araraquara,NULL,155
cascavel,NULL,153
nova friburgo,NULL,152
NULL,AM,148
braganca paulista,NULL,146
hortolandia,NULL,145
ponta grossa,NULL,143
governador valadares,NULL,141
aracatuba,NULL,141
manaus,NULL,140
marica,NULL,139
cariacica,NULL,139
divinopolis,NULL,137
rio das ostras,NULL,137
itu,NULL,136
jaboatao dos guararapes,NULL,135
sao joao de meriti,NULL,134
sao jose dos pinhais,NULL,133
pouso alegre,NULL,131
paulinia,NULL,130
sete lagoas,NULL,128
rio grande,NULL,125
novo hamburgo,NULL,123
barra mansa,NULL,123
cachoeiro de itapemirim,NULL,122
pocos de caldas,NULL,122
teresopolis,NULL,120
itajai,NULL,120
santa barbara d'oeste,NULL,119
resende,NULL,117
