city, state, count_of_sellers
NULL,SP,1849
sao paulo,NULL,694
NULL,PR,349
NULL,MG,244
NULL,SC,190
NULL,RJ,171
NULL,RS,129
curitiba,NULL,127
rio de janeiro,NULL,96
belo horizonte,NULL,68
ribeirao preto,NULL,52
guarulhos,NULL,50
ibitinga,NULL,49
santo andre,NULL,45
campinas,NULL,41
NULL,GO,40
maringa,NULL,40
sao jose do rio preto,NULL,33
sao bernardo do campo,NULL,32
sorocaba,NULL,32
osasco,NULL,32
NULL,DF,30
brasilia,NULL,28
porto alegre,NULL,28
londrina,NULL,26
NULL,ES,23
goiania,NULL,23
joinville,NULL,22
blumenau,NULL,21
franca,NULL,20
sao caetano do sul,NULL,20
NULL,BA,19
florianopolis,NULL,18
caxias do sul,NULL,18
sao jose dos campos,NULL,18
limeira,NULL,17
santos,NULL,16
marilia,NULL,15
mogi das cruzes,NULL,15
jundiai,NULL,14
bauru,NULL,14
cascavel,NULL,14
barueri,NULL,13
NULL,CE,13
maua,NULL,13
sao carlos,NULL,13
rio claro,NULL,12
uberlandia,NULL,12
presidente prudente,NULL,12
piracicaba,NULL,12
contagem,NULL,12
araraquara,NULL,11
atibaia,NULL,11
arapongas,NULL,10
americana,NULL,10
birigui,NULL,10
brusque,NULL,10
carapicuiba,NULL,10
cotia,NULL,10
catanduva,NULL,10
itajai,NULL,10
praia grande,NULL,10
juiz de fora,NULL,10
taboao da serra,NULL,10
sao jose dos pinhais,NULL,10
santana de parnaiba,NULL,9
salto,NULL,9
jaragua do sul,NULL,9
porto ferreira,NULL,9
pedreira,NULL,9
itaquaquecetuba,NULL,9
diadema,NULL,9
canoas,NULL,9
NULL,PE,9
apucarana,NULL,8
assis,NULL,8
divinopolis,NULL,8
colombo,NULL,8
indaiatuba,NULL,8
palhoca,NULL,8
pinhais,NULL,8
niteroi,NULL,8
mogi guacu,NULL,8
toledo,NULL,8
sao roque,NULL,7
salvador,NULL,7
sao goncalo,NULL,7
jacarei,NULL,7
fortaleza,NULL,7
valinhos,NULL,7
fazenda rio grande,NULL,6
claudio,NULL,6
guaruja,NULL,6
NULL,PB,6
santa rita do sapucai,NULL,6
ribeirao pires,NULL,6
taubate,NULL,6
uba,NULL,6
lencois paulista,NULL,6
ponta grossa,NULL,6
novo hamburgo,NULL,6
petropolis,NULL,6
pocos de caldas,NULL,5
recife,NULL,5
nova friburgo,NULL,5
nova iguacu,NULL,5
lajeado,NULL,5
tubarao,NULL,5
sumare,NULL,5
penapolis,NULL,5
sao jose,NULL,5
amparo,NULL,5
NULL,RN,5
NULL,MS,5
betim,NULL,5
braganca paulista,NULL,5
foz do iguacu,NULL,5
vila velha,NULL,5
vitoria,NULL,4
votorantim,NULL,4
votuporanga,NULL,4
francisco beltrao,NULL,4
formiga,NULL,4
fernandopolis,NULL,4
criciuma,NULL,4
capivari,NULL,4
garca,NULL,4
itu,NULL,4
itatiba,NULL,4
jaci,NULL,4
jaguariuna,NULL,4
itapecerica da serra,NULL,4
itapevi,NULL,4
cachoeiro de itapemirim,NULL,4
campo grande,NULL,4
barra mansa,NULL,4
barretos,NULL,4
borda da mata,NULL,4
botucatu,NULL,4
NULL,MT,4
aracatuba,NULL,4
araguari,NULL,4
rio do sul,NULL,4
